Date,Open,High,Low,Close,Adj Close,Volume
2016-10-25,24.855000,24.855000,24.855000,24.855000,21.272076,400
2016-10-26,24.625000,24.625000,24.625000,24.625000,21.075230,400
2016-10-27,24.625000,24.625000,24.625000,24.625000,21.075230,0
2016-10-28,24.625000,24.625000,24.625000,24.625000,21.075230,0
2016-10-31,25.202499,25.202499,25.202499,25.202499,21.569481,45200
2016-11-01,25.202499,25.202499,25.202499,25.202499,21.569481,0
2016-11-03,25.202499,25.202499,25.202499,25.202499,21.569481,0
2016-11-04,25.687500,25.687500,25.687500,25.687500,21.984568,800
2016-11-07,25.500000,25.652500,25.500000,25.652500,21.954615,2000
2016-11-08,25.652500,25.652500,25.652500,25.652500,21.954615,0
2016-11-09,25.652500,25.652500,25.652500,25.652500,21.954615,0
2016-11-10,27.389999,27.389999,27.389999,27.389999,23.441650,400
2016-11-11,27.389999,27.389999,27.389999,27.389999,23.441650,0
2016-11-14,28.942499,28.942499,28.900000,28.900000,24.733974,2800
2016-11-16,28.382500,28.382500,28.382500,28.382500,24.291077,8400
2016-11-17,28.382500,28.382500,28.382500,28.382500,24.291077,0
2016-11-18,27.932501,27.932501,27.932501,27.932501,23.905943,400
2016-11-21,27.682501,27.682501,27.682501,27.682501,23.691982,400
2016-11-22,28.469999,28.469999,28.250000,28.250000,24.177679,800
2016-11-23,28.250000,28.250000,28.250000,28.250000,24.177679,0
2016-11-24,28.250000,28.250000,28.250000,28.250000,24.177679,0
2016-11-25,29.525000,29.525000,29.500000,29.500000,25.247484,800
2016-11-28,28.885000,28.885000,28.885000,28.885000,24.721136,400
2016-11-29,28.885000,28.885000,28.885000,28.885000,24.721136,0
2016-11-30,28.885000,28.885000,28.885000,28.885000,24.721136,0
2016-12-01,28.885000,28.885000,28.885000,28.885000,24.721136,0
2016-12-02,28.885000,28.885000,28.885000,28.885000,24.721136,0
2016-12-05,28.885000,28.885000,28.885000,28.885000,24.988985,0
2016-12-06,29.997499,29.997499,29.997499,29.997499,25.951429,400
2016-12-07,30.705000,30.705000,30.705000,30.705000,26.563501,800
2016-12-08,30.725000,30.725000,30.725000,30.725000,26.580803,400
2016-12-09,30.725000,30.725000,30.725000,30.725000,26.580803,0
2016-12-12,31.809999,31.809999,31.077499,31.250000,27.034988,1600
2016-12-13,31.250000,31.250000,31.250000,31.250000,27.034988,0
2016-12-14,31.250000,31.250000,31.250000,31.250000,27.034988,0
2016-12-15,31.250000,31.250000,31.250000,31.250000,27.034988,0
2016-12-16,31.250000,31.250000,31.250000,31.250000,27.034988,0
2016-12-19,30.735001,30.735001,30.735001,30.735001,26.589458,2400
2016-12-20,30.735001,30.735001,30.735001,30.735001,26.589458,0
2016-12-21,30.735001,30.735001,30.735001,30.735001,26.589458,0
2016-12-22,30.735001,30.735001,30.735001,30.735001,26.589458,0
2016-12-23,30.735001,30.735001,30.735001,30.735001,26.589458,0
2016-12-26,30.735001,30.735001,30.735001,30.735001,26.589458,0
2016-12-27,29.037500,29.037500,29.037500,29.037500,25.120914,800
2016-12-28,29.047501,29.047501,29.047501,29.047501,25.129566,400
2016-12-29,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-02,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-03,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-04,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-05,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-06,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-09,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-10,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-11,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-12,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-13,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-16,29.047501,29.047501,29.047501,29.047501,25.129566,0
2017-01-17,29.997499,29.997499,29.997499,29.997499,25.951429,1200
2017-01-18,29.997499,29.997499,29.997499,29.997499,25.951429,0
2017-01-19,29.997499,29.997499,29.997499,29.997499,25.951429,0
2017-01-20,29.997499,29.997499,29.997499,29.997499,25.951429,0
